,nombre_circuito,numero_mesa,votos_fpv,votos_cambiemos,votos_blancos,votos_nulos,votos_recurridos,total
0,158B,5513,80,134,0,3,0,217
1,158B,5514,54,155,1,5,0,215
2,158B,5515,75,140,4,3,0,222
3,158B,5516,54,154,2,8,0,218
4,147B,5089,72,156,2,3,0,233
5,147B,5090,51,180,5,2,0,238
6,147B,5091,60,176,3,9,0,248
7,147B,5092,61,170,5,4,0,240
8,147B,5093,53,177,2,4,0,236
9,147B,5094,52,191,0,1,1,245
10,151,5183,139,97,10,0,0,246
11,151,5184,151,103,1,8,0,263
12,156E,5468,46,155,0,1,0,202
13,156B,5449,71,98,4,0,0,173
14,156B,5450,81,90,5,2,0,178
15,155A,5282,86,178,3,1,0,268
16,155A,5283,94,157,3,8,0,262
17,155A,5284,78,176,3,10,0,267
18,156,5285,67,193,2,4,0,266
19,156,5286,64,184,4,5,0,257
20,156,5287,63,204,0,7,0,274
21,156,5288,62,199,6,5,0,272
22,156,5289,50,221,2,1,11,285
23,156,5290,71,200,1,4,0,276
24,156,5291,72,210,3,5,0,290
25,156,5292,68,188,2,3,0,261
26,156,5293,68,210,3,5,0,286
27,156,5294,52,219,2,6,0,279
28,156,5295,75,199,3,4,0,281
29,156,5296,35,235,3,7,0,280
30,156,5297,62,206,3,6,0,277
31,156,5298,48,225,1,5,0,279
32,156,5299,65,194,1,2,0,262
33,156,5300,84,189,4,5,0,282
34,156,5301,84,183,1,10,0,278
35,156,5302,59,223,2,3,0,287
36,156,5303,47,213,0,5,0,265
37,156,5304,52,235,3,2,0,292
38,156,5305,47,210,2,10,0,269
39,156,5306,46,226,3,1,0,276
40,156,5307,61,221,4,1,0,287
41,156,5308,59,213,1,5,0,278
42,156,5309,49,220,3,6,0,278
43,156,5310,67,201,2,1,0,271
44,156,5311,70,184,0,5,0,259
45,156,5312,57,271,0,1,0,329
46,156,5313,54,216,1,3,0,274
47,156,5314,61,212,2,9,0,284
48,156,5315,59,207,0,4,0,270
49,156,5316,75,192,1,2,0,270
50,156,5317,53,213,4,2,0,272
51,156,5318,67,209,1,1,0,278
52,156,5319,50,203,6,6,0,265
53,156,5320,55,195,3,3,0,256
54,156,5321,57,217,2,3,0,279
